,year,region,geography,males,females,total
172,1970,south,Arkansas,2015.0,106.0,2121.0
173,1970,south,Delaware,617.0,38.0,655.0
174,1970,south,District of Columbia,1139.0,117.0,1256.0
175,1970,south,Florida,15267.0,922.0,16189.0
176,1970,south,Georgia,13991.0,456.0,14447.0
177,1970,south,Kentucky,5506.0,119.0,5625.0
178,1970,south,Louisiana,7434.0,314.0,7748.0
179,1970,south,Maryland,8686.0,237.0,8923.0
180,1970,south,Mississippi,2485.0,137.0,2622.0
181,1970,south,North Carolina,10407.0,443.0,10850.0
182,1970,south,Oklahoma,5787.0,248.0,6035.0
183,1970,south,South Carolina,4945.0,142.0,5087.0
184,1970,south,Tennessee,6347.0,369.0,6716.0
185,1970,south,Texas,20594.0,997.0,21591.0
186,1970,south,Virginia,10902.0,422.0,11324.0
187,1970,south,West Virginia,1559.0,742.0,2301.0
188,1970,west,Alaska,322.0,15.0,337.0
189,1970,west,Arizona,3201.0,130.0,3331.0
190,1970,west,California,47286.0,2572.0,49858.0
191,1970,west,Colorado,2926.0,115.0,3041.0
192,1970,west,Hawaii,367.0,5.0,372.0
193,1970,west,Idaho,586.0,31.0,617.0
194,1970,west,Montana,581.0,31.0,612.0
195,1970,west,Nevada,1151.0,66.0,1217.0
196,1970,west,New Mexico,1483.0,39.0,1522.0
197,1970,west,Oregon,2578.0,58.0,2636.0
198,1970,west,Utah,855.0,20.0,875.0
199,1970,west,Washington,5731.0,163.0,5894.0
200,1970,west,Wyoming,309.0,6.0,315.0
201,1977,aggregate,Federal,30185.0,1903.0,32088.0
202,1977,aggregate,Midwest,57973.0,2221.0,60194.0
203,1977,aggregate,Northeast,39812.0,1225.0,41037.0
204,1977,aggregate,South,122800.0,5028.0,127828.0
205,1977,aggregate,State Total,257560.0,10376.0,267936.0
206,1977,aggregate,U.S. Total,287745.0,12279.0,300024.0
207,1977,aggregate,West,36975.0,1902.0,38877.0
208,1977,midwest,Illinois,11449.0,306.0,11755.0
209,1977,midwest,Indiana,4498.0,135.0,4633.0
210,1977,midwest,Iowa,2072.0,88.0,2160.0
211,1977,midwest,Kansas,2157.0,90.0,2247.0
212,1977,midwest,Michigan,13286.0,538.0,13824.0
213,1977,midwest,Minnesota,1808.0,75.0,1883.0
214,1977,midwest,Missouri,5144.0,158.0,5302.0
215,1977,midwest,Nebraska,1334.0,90.0,1424.0
216,1977,midwest,North Dakota,225.0,2.0,227.0
217,1977,midwest,Ohio,12269.0,577.0,12846.0
218,1977,midwest,South Dakota,520.0,26.0,546.0
219,1977,midwest,Wisconsin,3211.0,136.0,3347.0
220,1977,northeast,Connecticut,2951.0,143.0,3094.0
221,1977,northeast,Maine,623.0,14.0,637.0
222,1977,northeast,Massachusetts,2660.0,107.0,2767.0
223,1977,northeast,New Hampshire,259.0,2.0,261.0
224,1977,northeast,New Jersey,5837.0,180.0,6017.0
225,1977,northeast,New York,18855.0,512.0,19367.0
226,1977,northeast,Pennsylvania,7447.0,236.0,7683.0
227,1977,northeast,Rhode Island,673.0,17.0,690.0
228,1977,northeast,Vermont,507.0,14.0,521.0
229,1977,south,Alabama,5324.0,223.0,5547.0
230,1977,south,Arkansas,2450.0,92.0,2542.0
231,1977,south,Delaware,1168.0,62.0,1230.0
232,1977,south,District of Columbia,2754.0,50.0,2804.0
233,1977,south,Florida,18767.0,879.0,19646.0
234,1977,south,Georgia,11477.0,535.0,12012.0
235,1977,south,Kentucky,3523.0,139.0,3662.0
236,1977,south,Louisiana,6514.0,217.0,6731.0
237,1977,south,Maryland,7900.0,248.0,8148.0
238,1977,south,Mississippi,2753.0,63.0,2816.0
239,1977,south,North Carolina,13719.0,531.0,14250.0
240,1977,south,Oklahoma,4228.0,192.0,4420.0
241,1977,south,South Carolina,6926.0,310.0,7236.0
242,1977,south,Tennessee,5248.0,232.0,5480.0
243,1977,south,Texas,21520.0,919.0,22439.0
244,1977,south,Virginia,7367.0,292.0,7659.0
245,1977,south,West Virginia,1162.0,44.0,1206.0
246,1977,west,Alaska,764.0,35.0,799.0
247,1977,west,Arizona,3042.0,187.0,3229.0
248,1977,west,California,18576.0,1047.0,19623.0
249,1977,west,Colorado,2258.0,72.0,2330.0
250,1977,west,Hawaii,535.0,19.0,554.0
251,1977,west,Idaho,746.0,28.0,774.0
252,1977,west,Montana,561.0,2.0,563.0
253,1977,west,Nevada,1084.0,65.0,1149.0
254,1977,west,New Mexico,1510.0,62.0,1572.0
255,1977,west,Oregon,2805.0,113.0,2918.0
256,1977,west,Utah,776.0,30.0,806.0
257,1977,west,Washington,3934.0,226.0,4160.0
258,1977,west,Wyoming,384.0,16.0,400.0
259,1978,aggregate,Federal,27975.0,1828.0,29803.0
260,1978,aggregate,Midwest,85995.0,4114.0,90109.0
261,1978,aggregate,Northeast,64034.0,2430.0,66464.0
262,1978,aggregate,South,190460.0,8713.0,199173.0
263,1978,aggregate,State Total,415394.0,20473.0,435867.0
264,1978,aggregate,U.S. Total,294530.0,12746.0,307276.0
265,1978,aggregate,West,74905.0,5216.0,80121.0
266,1978,midwest,Illinois,16417.0,622.0,17039.0
267,1978,midwest,Indiana,7088.0,288.0,7376.0
268,1978,midwest,Iowa,2520.0,126.0,2646.0
269,1978,midwest,Kansas,3180.0,159.0,3339.0
270,1978,midwest,Michigan,19605.0,1068.0,20673.0
271,1978,midwest,Minnesota,3309.0,162.0,3471.0
272,1978,midwest,Missouri,8123.0,363.0,8486.0
273,1978,midwest,Nebraska,1911.0,112.0,2023.0
274,1978,midwest,North Dakota,301.0,17.0,318.0
275,1978,midwest,Ohio,17678.0,894.0,18572.0
276,1978,midwest,South Dakota,772.0,36.0,808.0
277,1978,midwest,Wisconsin,5091.0,267.0,5358.0
278,1978,northeast,Connecticut,3044.0,145.0,3189.0
279,1978,northeast,Maine,1011.0,25.0,1036.0
280,1978,northeast,Massachusetts,5005.0,118.0,5123.0
281,1978,northeast,New Hampshire,624.0,29.0,653.0
282,1978,northeast,New Jersey,9341.0,401.0,9742.0
283,1978,northeast,New York,30201.0,1194.0,31395.0
284,1978,northeast,Pennsylvania,13730.0,491.0,14221.0
285,1978,northeast,Rhode Island,648.0,16.0,664.0
286,1978,northeast,Vermont,430.0,11.0,441.0
287,1978,south,Alabama,10271.0,403.0,10674.0
